Date,SPY,EFA,EWJ,EEM,IYR,RWX,IEF,TLT,DBC,GLD
2006-12-18,107.80059051513672,48.4780158996582,45.42784118652344,28.327171325683594,48.20409393310547,30.151294708251953,58.82667541503906,58.54872131347656,22.840280532836914,61.040000915527344
2006-12-19,108.00568389892578,48.694427490234375,45.23397445678711,28.148881912231445,47.83219528198242,30.151294708251953,58.81254959106445,58.47047424316406,23.1109676361084,61.79999923706055
2006-12-20,107.94487762451172,48.60918426513672,45.556129455566406,28.46034812927246,48.22983932495117,30.210962295532227,58.79838562011719,58.4638786315918,23.157636642456055,61.619998931884766
2006-12-21,107.5500259399414,48.58440017700195,45.81645584106445,28.40941619873047,47.766109466552734,30.245759963989258,59.01050567626953,58.75742721557617,22.924287796020508,61.380001068115234
2006-12-22,106.88933563232422,48.47055435180664,45.97915267944336,28.51128387451172,47.395103454589844,30.5291748046875,58.74178695678711,58.30736541748047,23.101633071899414,61.650001525878906
2006-12-26,107.51960754394531,48.450469970703125,45.94660186767578,28.776153564453125,47.87044906616211,30.628629684448242,58.78424072265625,58.483516693115234,22.7469425201416,61.97999954223633
2006-12-27,108.22590637207031,49.053157806396484,46.141845703125,29.18618392944336,48.28782272338867,30.85236930847168,58.627479553222656,58.053462982177734,22.681604385375977,62.220001220703125
2006-12-28,107.9980697631836,49.08665466308594,46.17438888549805,29.130155563354492,48.43274688720703,31.294893264770508,58.49275588989258,57.922584533691406,22.84961700439453,62.900001525878906
2006-12-29,107.5500259399414,49.033077239990234,46.23946762084961,29.076677322387695,48.31678009033203,31.453994750976562,58.464385986328125,57.87677764892578,22.942955017089844,63.209999084472656
2007-01-03,107.3601303100586,49.2272834777832,46.206939697265625,29.323711395263672,48.618228912353516,31.424184799194336,58.634620666503906,58.28908157348633,22.214902877807617,62.279998779296875
2007-01-04,107.58799743652344,49.08665466308594,46.69504165649414,28.91878318786621,48.60664367675781,31.19046974182129,58.847347259521484,58.64251708984375,21.636198043823242,61.650001525878906
2007-01-05,106.72984313964844,48.35002136230469,45.491050720214844,28.073246002197266,47.85305404663086,30.802654266357422,58.65589141845703,58.38726043701172,21.561525344848633,60.16999816894531
2007-01-08,107.22345733642578,48.41699981689453,45.75137710571289,28.276979446411133,47.84146499633789,30.69823455810547,58.698429107666016,58.491973876953125,21.67353057861328,60.47999954223633
2007-01-09,107.13231658935547,48.463863372802734,46.04423141479492,27.64537811279297,48.40375518798828,30.747953414916992,58.68425750732422,58.491973876953125,21.486852645874023,60.849998474121094
2007-01-10,107.4892578125,48.09554672241211,45.36088562011719,27.58170509338379,49.17474365234375,30.573930740356445,58.584964752197266,58.230159759521484,21.16949462890625,60.59000015258789
2007-01-11,107.96012878417969,48.403587341308594,45.13310623168945,27.930620193481445,49.737030029296875,30.673372268676758,58.42893981933594,57.889862060546875,21.141494750976562,60.630001068115234
2007-01-12,108.78033447265625,48.952728271484375,45.718833923339844,28.49854850769043,49.91093826293945,30.877225875854492,58.30836868286133,57.621524810791016,21.636198043823242,62.16999816894531
2007-01-16,108.56767272949219,48.892452239990234,45.88151931762695,28.60042381286621,50.484825134277344,30.95677947998047,58.42184829711914,57.74589538574219,21.141494750976562,61.970001220703125
2007-01-17,108.61320495605469,48.919227600097656,45.88151931762695,28.480728149414062,50.635536193847656,31.175554275512695,58.30836868286133,57.56912612915039,21.328174591064453,62.63999938964844
2007-01-18,108.24869537353516,48.75181198120117,45.8489875793457,28.18020248413086,50.461647033691406,31.14076805114746,58.386356353759766,57.74589538574219,21.10416030883789,62.2599983215332
2007-01-19,108.46134185791016,49.34782409667969,46.17438888549805,28.687021255493164,50.90797805786133,31.444053649902344,58.29423904418945,57.58876419067383,21.42151641845703,63.0
2007-01-22,108.12720489501953,49.100032806396484,46.17438888549805,28.65390968322754,50.75149154663086,31.767253875732422,58.40057373046875,57.726219177246094,21.440181732177734,62.720001220703125
2007-01-23,108.44618225097656,49.535316467285156,46.43471145629883,29.305879592895508,50.89640426635742,32.00592041015625,58.23037338256836,57.34663009643555,22.121562957763672,64.2300033569336
2007-01-24,109.31947326660156,49.85676956176758,47.0529670715332,29.560565948486328,51.59203338623047,32.035743713378906,58.2374382019043,57.340087890625,21.93488311767578,64.33000183105469
2007-01-25,108.03604125976562,49.04645919799805,46.27201461791992,28.651365280151367,51.899288177490234,31.846811294555664,58.01054000854492,56.927757263183594,21.738872528076172,64.05999755859375
2007-01-26,107.93731689453125,49.14023208618164,46.304542541503906,28.827091217041016,52.055782318115234,31.64792251586914,58.00343322753906,56.881919860839844,22.00955581665039,64.16999816894531
2007-01-29,107.87661743164062,49.19380187988281,46.46724319458008,28.44506072998047,52.206478118896484,31.841829299926758,57.96086883544922,56.75757598876953,21.561525344848633,63.77000045776367
2007-01-30,108.43860626220703,49.52862548828125,46.76011657714844,28.885665893554688,52.38620376586914,31.97110939025879,58.01759719848633,56.8230094909668,22.158899307250977,64.22000122070312
2007-01-31,109.16765594482422,49.71613693237305,46.564876556396484,29.109790802001953,52.9832763671875,31.97110939025879,58.23037338256836,57.30080032348633,22.392250061035156,64.83000183105469
2007-02-01,109.82071685791016,50.131343841552734,47.18312454223633,29.46632957458496,52.954280853271484,32.33408737182617,58.18836975097656,57.23176193237305,22.308242797851562,65.22000122070312
2007-02-02,109.97260284423828,50.03087615966797,46.89027404785156,29.377193450927734,53.33108139038086,32.692081451416016,58.23817825317383,57.30411911010742,22.59759521484375,64.27999877929688
