"","H00908.CSI","H00909.CSI","H00910.CSI","H00911.CSI","H00912.CSI","H00913.CSI","H00914.CSI","H00915.CSI","H00916.CSI","H00917.CSI"
"2007-09-04",6339.428,6132.655,4990.219,5349.015,6364.167,5050.346,8282.882,2630.971,3162.379,3756.91
"2007-09-05",6517.835,6237.09,5031.024,5379.075,6392.506,5073.342,8126.845,2641.678,3174.485,3732.456
"2007-09-06",6589.413,6290.396,5082.516,5430.291,6368.633,5040.985,8218.961,2643.932,3295.3,3746.27
"2007-09-07",6456.065,6148.476,4947.809,5418.869,6191.804,4868.911,8004.591,2584.262,3213.796,3703.747
"2007-09-10",6420.036,6234.863,5062.317,5528.171,6223.425,4925.842,8126.453,2632.484,3259.901,3778.484
"2007-09-11",6133.981,5977.916,4823.673,5285.05,6026.7,4648.313,7726.582,2442.335,3035.12,3571.154
"2007-09-12",6361.361,6121.759,4929.779,5370.941,6094.973,4726.972,7766.546,2463.925,3000.256,3630.521
"2007-09-13",6782.255,6301.492,5000.572,5411.76,6166.869,4784.059,8079.901,2494.334,3091.507,3730.281
"2007-09-14",6888.314,6441.304,5101.874,5426.433,6417.777,4831.969,8032.287,2508.599,3076.681,3725.79
"2007-09-17",7006.797,6627.882,5216.136,5494.068,6548.128,4943.524,8090.472,2531.728,3207.172,3871.287
"2007-09-18",6983.599,6600.148,5257.677,5465.114,6457.234,5072.156,7942.117,2518.133,3196.566,4006.316
"2007-09-19",7290.735,6449.965,5151.089,5316.334,6335.163,4981.887,7962.886,2505.726,3152.175,3942.498
"2007-09-20",7403.057,6551.991,5339.703,5360.807,6399.359,5050.125,8017,2503.304,3175.378,3967.54
"2007-09-21",7596.068,6498.715,5307.982,5315.003,6448.544,5003.811,7975.76,2466.71,3225.692,3889.974
"2007-09-24",7708.829,6625.496,5277.212,5271.982,6406.655,5026.821,8089.614,2480.442,3264.27,3936.177
"2007-09-25",7332.322,6431.829,5150.734,5341.372,6297.944,5076.427,8136.614,2507.989,3189.359,3909.977
"2007-09-26",7106.464,6289.979,5086.169,5211.725,6427.496,5042.533,8022.793,2455.816,3209.1,3763.036
"2007-09-27",7343.505,6427.674,5151.431,5287.067,6478.762,4971.76,8072.086,2478.045,3240.06,3777.528
"2007-09-28",7626.281,6588.95,5285.201,5428.774,6642.778,5057.103,8332.108,2522.04,3367.777,3866.502
"2007-10-08",7617.288,6524.15,5268.16,5366.02,6587.016,5166.421,8794.203,2533.735,3419.414,3825.562
"2007-10-09",7381.978,6504.21,5307.444,5424.74,6914.576,5172.715,8829.904,2564.584,3428.863,3832.788
"2007-10-10",7404.646,6626.423,5336.241,5444.121,6928.091,5123.338,8760.554,2517.379,3383.437,3825.484
"2007-10-11",7610.382,6686.326,5401.488,5361.319,7065.215,5004.513,8972.61,2451.928,3569.595,3865.318
"2007-10-12",7732.788,6761.998,5420.976,5248.058,7200.774,4966.072,8858.374,2377.386,3630.044,3752.367
"2007-10-15",7963.753,6955.913,5557.488,5303.302,7421.593,5083.866,8725.159,2397.802,3914.788,3948.031
"2007-10-16",8089.123,6892.115,5575.817,5296.428,7389.512,5240.702,8996.917,2451.998,3839.291,3948.233
"2007-10-17",8206.251,6844.356,5536.922,5272.001,7239.103,5229.763,8800.934,2440.734,3916.154,3933.516
"2007-10-18",7802.448,6563.429,5298.585,5103.247,6969.437,5417.954,8549.089,2369.101,3738.645,3788.76
"2007-10-19",7764.342,6544.84,5292.389,5113.774,7007.617,5380.742,8572.415,2374.393,3684.721,3786.584
"2007-10-22",7349.3,6298.171,5193.493,4933.78,6781.965,5270.783,8561.931,2318.562,3524.369,3598.443
